GeneID	GSM6290462	GSM6290463	GSM6290464	GSM6290466	GSM6290467	GSM6290468
100287102	19	14	11	8	12	9
653635	2274	1775	1622	1764	2018	2031
102466751	77	69	59	27	39	47
107985730	3	2	3	1	1	0
100302278	0	0	0	0	1	0
645520	0	1	0	0	0	0
79501	0	0	0	0	0	0
100996442	119	100	86	119	179	178
729737	1184	849	595	815	972	1185
102725121	10	7	5	2	1	1
102723897	2269	1774	1594	1784	2033	2011
102465909	52	51	34	17	24	23
107985721	8	7	6	1	5	1
112268260	16	15	15	9	19	25
729759	1	0	0	1	1	1
100132287	1430	1005	772	1115	1379	1560
105378947	2	1	3	1	1	6
101928626	0	0	0	0	0	0
113219467	2568	1535	2355	1105	799	1080
81399	8	6	3	2	9	7
100133331	1461	1056	837	1193	1494	1596
107984841	340	245	204	274	361	445
107984847	247	177	147	211	281	321
107984849	84	56	58	63	90	101
100288069	201	193	164	214	305	371
105378580	64	31	29	15	11	24
400728	19	12	16	5	10	21
79854	50	31	46	22	30	32
643837	244	266	210	157	177	249
107984850	0	1	1	1	1	1
284593	8	4	3	2	4	7
284600	107	70	19	13	19	19
100130417	49	43	11	1	3	8
107985728	19	44	22	2	1	1
148398	389	577	360	144	187	184
26155	5852	7284	5781	2158	2724	2953
339451	1452	1624	1013	203	199	285
84069	38	29	14	25	26	35
84808	5	3	3	1	3	6
57801	44	21	20	94	50	146
9636	991	570	474	3784	1807	3600
375790	4573	3468	3796	7947	5928	12935
100288175	27	20	15	744	643	1001
112267874	8	14	7	213	216	252
105378948	77	70	44	592	495	737
401934	0	0	1	549	392	334
54991	626	716	541	1735	2085	2198
254099	0	0	0	0	0	1
406984	0	0	0	3	0	2
406983	0	0	0	0	0	0
554210	0	0	0	1	0	2
100506376	0	0	0	8	7	13
254173	2	1	0	574	389	697
8784	9	6	1	2605	1640	3672
7293	5	3	1	1021	580	1118
51150	6396	6027	6000	11394	10396	12281
126792	1858	1792	1288	540	564	958
388581	30	14	8	11	15	30
118424	1946	2346	1692	1837	2329	2145
101928895	105	122	98	39	59	44
6339	319	257	242	104	148	152
116983	2904	3719	2288	857	1015	1421
102465434	1	1	2	1	0	1
109623456	32	55	35	11	8	19
126789	764	874	664	167	175	185
54973	4922	4056	3666	1509	1699	2048
102465435	12	20	11	10	16	6
80772	568	665	519	111	132	158
83756	79	52	44	16	30	32
1855	1763	1669	1464	559	712	760
102466740	3	2	1	0	1	2
54587	966	636	542	164	187	293
54998	2814	3153	2476	955	1121	1046
81669	10847	7204	6284	7413	8421	8390
148413	1220	1123	1133	567	485	619
55052	2678	3119	2331	1795	2111	2073
107984868	2	0	2	0	1	0
441869	1	2	0	4	0	3
105378585	0	0	0	0	0	0
643965	0	0	0	0	0	0
102724312	1	0	0	1	1	1
107985729	1	0	0	2	1	3
64856	24	13	5	13	14	16
219293	192	236	168	116	106	136
83858	2558	3220	2091	1799	2229	2420
55210	2313	3488	2499	1215	1417	1411
339453	9	10	6	2	0	1
29101	2717	2903	2507	1369	2115	2124
643988	1247	1102	816	116	149	188
105378586	49	48	35	3	1	21
142678	2124	1880	1700	1502	1745	2405
8510	146	130	118	94	119	145
984	3382	3225	2972	3641	4168	4204
728661	5867	4492	4682	2357	2747	2950
8511	38	23	27	30	37	46
728642	2864	2615	2295	3395	4090	3909
9906	3622	2507	2450	1052	1322	1270
112268218	312	318	230	99	156	138
65220	3483	3504	2771	1348	1653	2087
2782	17275	14214	14793	21940	25535	23854
105378949	18	18	11	3	4	5
163688	55	40	19	11	10	12
339456	13	27	16	2	4	1
85452	3	3	2	1	2	2
107984872	10	7	13	0	0	0
105378589	1	0	1	0	1	3
2563	43	25	22	8	5	15
105378590	1	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	467	487	332	88	115	148
100506504	84	62	54	6	30	24
199990	1054	928	742	203	366	404
112268219	323	297	224	58	76	113
105378593	31	21	17	4	4	8
6497	5239	4811	3716	2887	4038	3743
79906	323	319	244	149	199	223
100129534	191	141	139	158	266	192
11079	4314	4343	3601	2303	2632	3126
5192	610	644	507	173	219	278
9651	3	9	4	4	4	4
55229	1045	1232	1015	1191	1281	1352
388585	0	0	3	0	0	0
115110	189	141	109	57	49	81
8764	897	853	448	262	339	504
100996583	13	1	0	3	4	14
127281	283	406	218	80	87	102
79258	36	57	22	9	6	9
105378597	9	3	3	0	0	5
100287898	41	20	25	6	4	6
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	1	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	0	0	0	0	0	0
63976	0	0	0	0	0	0
100422968	0	0	0	0	0	0
105378606	0	0	0	0	0	0
107984909	0	1	1	0	0	0
105378605	0	0	0	0	0	0
105378604	0	0	0	0	0	2
27237	407	361	244	9	11	22
1953	1272	696	629	359	530	525
105378608	0	1	1	0	0	0
693135	0	0	2	0	0	0
105378607	2	2	8	0	0	0
127262	1331	1178	1077	444	619	532
49856	1736	1613	1508	483	480	667
7161	1147	827	984	237	177	340
105378610	10	26	20	0	3	2
105378609	1	0	2	0	0	0
57212	683	591	531	186	258	290
148870	1431	746	791	324	259	344
388588	71	47	40	18	13	28
57470	2422	2402	2037	858	941	1012
9731	854	841	818	291	419	504
1677	423	504	420	84	108	136
107984910	62	113	59	3	6	22
339448	1275	1383	1135	231	315	269
100133612	38	49	47	15	32	22
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0	1	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	176	129	125	2	5	12
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	4	0	0	0	0	0
261734	1628	1601	1525	568	620	920
8514	15898	17889	15978	1682	2494	3860
26038	236	53	41	25	32	35
105376687	0	0	0	0	0	0
6146	19412	14978	14269	10032	12899	12117
107985733	63	71	54	28	42	46
102724450	16	22	7	1	0	1
388591	556	401	247	43	69	54
23463	4765	5399	5270	543	504	886
148645	29	32	25	0	17	3
390992	0	0	0	0	0	0
387509	353	478	432	320	225	389
11332	1721	2017	1955	613	736	565
54626	6	2	2	1	0	1
83715	469	531	358	179	242	163
100422975	1	0	0	0	0	0
8718	197	178	112	74	121	93
57449	143	71	35	10	17	4
79707	1371	1540	1074	720	994	880
80835	2	1	2	0	0	3
107984912	0	0	0	0	0	0
3104	2316	2266	1709	1952	2127	2068
9903	1153	1337	1113	439	352	466
107984913	13	10	6	11	8	19
148479	1275	952	935	613	580	507
90326	1231	1419	1141	925	1081	1038
55735	2327	3337	2580	1891	2682	2890
100505887	0	0	0	0	0	3
110841581	19	5	4	3	6	4
23261	1083	1018	913	1618	1939	1527
105376692	0	0	0	0	0	0
102725193	0	0	0	0	0	0
101928836	0	0	0	0	0	0
105376691	0	0	0	0	0	0
105376689	442	223	206	380	379	457
9341	1776	1652	1451	1043	1226	1799
8863	515	341	300	67	100	118
10911	629	491	428	278	304	427
3604	11	10	10	7075	5045	8845
11315	5326	5735	5176	4221	4635	4026
54206	124	90	109	209	287	372
107984915	0	0	0	0	0	0
102724539	0	0	0	0	0	0
105376695	0	0	0	0	0	0
50651	19	23	12	0	3	1
473	1764	1248	1370	745	845	1136
102724552	10	3	1	2	0	2
106632271	0	0	0	0	0	0
2023	51293	64562	53886	29337	33491	36623
102465436	0	2	2	10	8	2
100505975	4	4	4	4	8	5
112268261	2	2	1	1	1	0
765	0	0	0	0	0	0
155184	0	0	0	0	0	0
6518	9812	6084	6638	1378	1727	1992
80045	301	229	197	268	328	1650
106614088	53	30	24	26	13	57
407040	1	0	1	0	0	2
102724571	17	11	17	6	5	5
9563	5020	3375	2950	867	1022	2044
80176	279	144	169	548	538	646
100506022	84	71	90	3	3	12
84275	761	921	696	1161	1267	1289
199953	1598	2063	1641	306	310	364
107985734	35	64	36	5	9	18
105376712	3	0	0	1	0	0
5293	13695	11940	11412	13857	14352	10807
644997	283	226	325	306	366	391
101929074	4	1	0	7	15	5
22883	13942	10050	10954	4318	5759	4675
56998	1140	811	706	264	357	265
105376717	38	34	32	12	15	15
84328	1468	1538	1413	1053	1155	1142
64802	823	811	750	295	370	503
113391335	3	0	1	0	3	1
100847055	0	0	0	0	0	0
116362	7	5	4	7	1	6
10277	2547	2391	2551	848	1396	1174
23095	1201	901	1029	3253	3184	4933
105376725	10	10	1	0	3	10
5226	12707	11037	10582	4856	5768	8610
100526739	260	233	270	110	119	114
378708	314	289	330	120	141	133
1325	11	6	7	2	7	4
1676	1609	1919	1525	561	793	775
5195	1199	1019	897	453	658	691
54897	323	310	253	849	1032	890
105376733	0	0	0	0	0	0
105376735	0	2	0	0	0	0
148345	454	199	200	33	28	34
23435	10955	11024	10684	9509	10514	9102
10747	369	185	145	62	130	246
6723	3190	5062	3484	1101	1466	1256
5394	5090	4509	4595	2198	2607	2838
105376736	134	120	182	67	90	87
2475	4008	4369	4068	2816	3424	4407
100873935	61	62	60	45	46	60
10218	3	1	1	2	0	2
29914	1151	1219	875	407	508	650
105376737	0	0	0	0	0	0
105376739	0	0	0	0	0	0
105376740	0	0	0	6	2	2
57540	3	2	2	26	42	41
112268221	0	0	0	1	1	4
101929181	0	0	0	11	12	2
26232	1	2	0	1	3	5
93611	987	776	502	164	243	269
26270	520	360	284	373	316	726
10459	2363	2013	2124	1401	1329	1754
374946	44	33	30	6	2	11
57085	1364	1669	1336	1148	1497	1341
284498	527	349	346	135	220	259
102724659	2	1	1	0	0	1
4524	2230	1421	1578	767	1035	1215
1185	1705	1019	1231	1747	2440	2105
100379251	219	149	152	242	338	306
4878	14	11	8	35	31	32
4879	0	0	0	0	0	0
26829	1	0	0	22	26	22
90231	2978	3038	2386	1066	1119	1186
5351	3202	3598	2818	2418	3194	2765
9927	5609	6244	5184	4019	4676	5259
60672	1654	2212	1487	164	203	232
102466982	3	5	5	0	3	0
943	13	2	8	3	8	15
102465836	1	1	0	0	1	1
7133	3956	2767	2217	2328	2081	8458
100616438	0	0	0	0	0	0
107984917	5	4	4	4	3	3
55187	1657	1546	1469	1032	1679	1915
677885	1	3	1	2	8	3
105376744	178	91	91	6	3	14
9249	223	55	116	75	87	153
102466722	1	0	1	0	1	0
343066	0	0	0	0	0	0
126767	0	0	1	0	0	0
93190	0	0	0	0	0	0
390999	0	0	0	0	0	0
65121	0	0	0	0	0	0
105376745	0	0	0	0	0	0
440560	0	0	0	0	0	0
343069	72	57	79	263	353	266
65122	0	0	0	0	0	0
400735	0	0	0	0	0	0
343071	0	0	0	0	0	0
441871	0	0	0	0	0	0
440561	0	0	0	0	0	0
101929983	0	0	0	0	0	0
649330	2	0	1	1	2	1
441873	0	0	0	0	0	0
649324	0	0	0	0	0	0
440563	58	49	68	223	306	233
645354	0	0	0	0	0	0
645359	0	0	0	0	0	0
101060301	2	3	4	13	20	16
343070	0	0	0	0	0	0
400736	0	0	0	0	0	0
391003	0	0	0	0	0	0
343068	0	0	0	0	0	0
391002	0	0	0	0	0	0
645382	0	0	0	0	0	0
653619	0	0	0	0	0	0
729528	0	0	0	0	0	0
645414	0	0	0	0	0	0
391004	0	0	0	0	0	0
645425	0	0	0	0	0	0
126755	0	0	0	4	11	13
102724856	0	0	0	0	2	1
107984918	0	0	0	1	3	0
10630	366	90	120	1078	1683	1640
107984919	1	1	0	10	20	30
105378612	0	0	0	0	3	1
105376756	0	0	0	0	0	0
7799	2146	1818	1852	5295	6087	6818
23254	270	407	227	23	39	85
107985467	0	0	0	0	0	0
107985468	0	1	0	0	0	0
105376762	0	0	0	0	0	0
105376759	0	0	0	0	0	1
107985469	0	0	0	0	0	0
200197	32	18	13	8	7	32
55092	452	382	350	183	273	546
727684	0	0	0	1	1	0
114827	7	2	7	7	4	15
101927417	0	2	0	0	0	2
101927441	24	8	9	38	31	71
79180	5290	5314	4316	11168	10420	13040
11330	10	7	6	25	21	64
63036	1	0	2	3	2	2
105376767	3	0	0	0	0	1
51032	8	2	12	1	1	0
842	820	588	560	425	496	716
23341	955	869	796	877	1044	1318
107397391	0	0	0	0	0	0
79814	468	570	387	68	77	88
84301	1590	1632	1393	455	465	784
6248	182	201	186	102	91	162
23207	4399	3655	3450	13513	14502	12249
284723	140	47	62	217	319	358
110806303	8	4	3	8	19	18
388595	0	0	0	0	0	0
54751	16	5	5	1	3	2
440567	840	885	695	475	556	529
729614	304	183	192	104	119	139
23013	6826	5698	5584	10508	12857	10967
7709	2063	1721	1608	4011	4149	3871
149563	0	0	0	0	0	0
27129	2449	750	629	592	558	518
1187	163	59	41	402	399	325
1188	22	9	10	42	69	43
348487	2	2	0	0	0	0
1969	56	42	15	138	77	102
101927479	5	1	0	0	1	0
128272	536	715	441	59	92	143
101927546	41	39	35	6	10	17
79363	165	120	116	8	21	28
54455	1525	1486	1223	6242	7630	6994
26099	3838	3609	3550	4084	4660	4657
374955	2187	1943	1871	1860	2265	2362
55707	3199	2590	2359	8163	9801	8889
107984921	54	36	26	18	29	33
114819	251	185	156	56	79	119
26871	1	8	4	8	10	9
107985757	0	0	0	0	0	0
100132147	0	0	0	0	0	0
107985758	0	0	0	0	0	0
7195	0	0	0	1	0	0
55672	901	1046	886	637	760	967
105376794	1951	1790	1572	747	1059	1136
84809	937	803	653	472	575	779
11209	295	118	115	37	43	52
107985736	50	28	31	8	5	16
26869	2	9	4	8	9	6
107985759	0	0	0	0	0	0
284729	3	1	2	0	1	1
100189045	0	0	0	0	0	0
6060	2	10	3	7	8	6
11223	250	109	120	28	24	51
100500876	0	0	0	0	0	0
100189298	0	0	0	0	0	0
112267871	2	2	0	0	0	0
7193	0	0	0	0	0	0
100189183	0	0	0	0	0	0
105376805	62	43	43	16	17	13
791226	0	0	0	0	0	0
26870	2	9	3	10	7	7
9696	1148	1086	829	231	305	404
4237	0	0	0	0	0	0
105376806	0	0	0	0	0	0
23400	1616	1272	1020	179	231	206
6390	2500	2811	2511	983	1180	1124
11240	267	357	222	51	67	100
105376808	0	0	0	1	0	2
400743	0	2	0	0	0	0
29943	5	1	0	1	1	9
51702	0	1	0	0	0	0
100616188	0	0	0	0	0	0
23569	1	0	0	0	2	0
353238	2	1	1	0	1	0
55920	14247	15411	13058	11499	12341	13265
55160	2997	2172	1905	398	569	1447
107984028	0	0	0	0	0	0
81569	12	10	6	3	0	0
105376809	0	1	0	0	0	0
105376812	0	1	0	0	0	0
101927876	0	0	0	0	0	0
84966	0	0	0	0	0	0
105376814	0	0	0	1	0	0
127707	0	0	0	0	0	0
5081	0	0	0	0	0	0
80834	0	0	0	0	0	0
8659	641	732	686	180	209	287
100616120	0	0	0	0	0	0
100302276	0	1	0	0	0	0
126917	740	553	593	3581	4702	4972
105376815	0	0	0	0	0	0
23352	11006	7777	7796	24078	29586	30954
101927895	117	112	145	94	135	112
23065	2854	3181	2887	1808	2273	2334
51154	2808	3893	2825	1139	1309	1378
246181	109	100	85	20	24	20
22977	110	92	86	20	29	16
100506730	320	303	197	16	32	33
8574	3384	2939	3245	587	641	491
54896	2877	2660	2056	516	491	676
832	10816	11193	9948	7016	8717	8987
105376819	3	1	3	0	0	4
105376818	0	0	0	0	0	0
105376817	0	0	0	0	0	0
105378614	1	0	0	0	2	0
440574	1562	1873	1624	1256	1419	1406
100532736	841	786	775	948	1144	1122
644068	146	78	68	32	45	34
4681	455	354	318	639	682	740
3362	7	16	7	1	0	0
255104	1079	984	927	185	225	235
54546	2	0	0	0	0	0
105376823	1	1	1	2	2	0
23252	1277	1288	1022	1181	1294	1152
30814	0	0	0	0	0	0
5320	0	0	0	0	0	0
5322	5	0	2	0	0	0
26279	22	3	8	3	9	3
64600	0	0	0	0	0	0
391013	8	4	7	2	0	1
127733	6	1	3	0	0	0
101928017	0	0	0	0	0	0
105376825	1	0	1	0	0	0
105376826	0	0	0	0	0	0
105376827	0	0	0	0	0	0
105376828	0	0	0	0	0	0
127731	0	0	0	0	0	0
339505	0	0	0	0	0	0
55450	19	4	1	15	9	13
79594	1194	1140	846	956	1280	1402
163933	0	0	0	0	0	0
978	138	142	128	46	58	33
65018	1330	1067	1271	325	439	390
102464833	7	9	8	2	1	1
100861548	1815	1637	1632	602	793	757
1650	15213	14113	15646	9106	10481	9307
57576	4648	2852	3980	2451	2594	2013
400745	4	13	2	1	10	0
112268222	3233	2499	2359	1125	1295	1403
50809	12457	11415	11367	6887	8042	8219
8672	9434	8516	9499	3789	4869	5309
105376830	9	4	3	1	4	0
105376829	3	4	0	8	10	0
100302155	0	0	0	0	0	0
1889	1603	1074	976	13197	9950	21415
100506801	0	1	1	32	34	66
105376832	0	0	0	0	0	0
84224	467	488	444	100	111	168
249	0	0	0	1	0	2
105376834	0	0	0	0	0	0
5909	210	139	102	45	62	51
84196	5193	4575	4470	1618	1737	1982
401944	254	178	147	58	72	85
3339	1597	1079	1238	434	670	756
23436	0	0	0	0	0	0
10136	0	0	0	2	0	1
101928043	18	15	19	9	13	12
29092	408	236	272	122	204	217
112268223	34	15	17	26	23	21
998	10003	8778	8247	15700	18502	17462
54361	9	8	7	93	67	69
105376845	0	0	2	14	31	21
105376850	0	4	0	1	15	2
107985377	0	0	0	0	0	0
100616433	0	0	0	0	0	0
105376856	0	0	0	0	0	0
9923	4538	3860	3435	4012	4867	5341
2046	2	0	0	1	1	2
102466615	0	0	0	0	0	0
712	20	16	8	18	27	24
714	6	5	4	3	4	18
713	1	0	0	0	0	1
2048	28	11	16	77	104	156
100616391	0	0	0	0	0	0
100422914	0	0	0	1	1	6
646262	0	0	0	0	0	0
729059	1	2	2	0	0	0
23028	4517	4737	4333	2513	2712	3145
100422866	0	0	0	0	0	0
7798	2231	2278	2150	5935	7338	9941
3352	0	0	0	1	0	0
100996511	514	276	196	10	10	36
10236	7397	7652	8732	3323	4028	4216
80818	414	278	375	952	896	1155
148898	75	47	62	14	24	35
6920	14	5	13	2	0	1
55616	30	17	13	14	17	42
1870	1365	1364	1325	60	53	230
101928163	26	20	22	1	0	7
105376859	6	4	6	2	1	2
3399	245	446	116	467	444	358
107984928	0	0	0	0	0	0
259283	0	0	0	0	0	1
6135	35181	29980	28353	16755	19470	18029
6924	1850	1951	1783	8428	9103	7989
100506963	229	240	186	478	580	587
57095	1298	1305	937	1069	1241	1150
105376860	137	172	108	109	108	117
11313	2288	2517	1851	1446	1641	1542
2582	450	524	478	436	408	427
3155	1050	780	803	509	615	779
105376861	1	1	1	0	1	0
2517	381	339	291	32	37	96
1269	14	6	4	0	0	1
107984929	0	0	0	0	0	0
100616492	0	0	0	0	0	0
55629	6672	6367	6630	22287	24493	25904
10772	9452	8790	8191	11716	11913	12390
105378615	0	0	0	0	0	0
105376863	0	0	0	0	0	0
107984931	0	0	0	0	0	0
127294	0	0	0	0	0	0
107985737	0	1	0	0	0	0
105376864	0	0	1	0	0	0
58985	2	1	2	0	0	0
163702	2	0	0	0	0	6
284632	0	0	0	0	0	1
105376871	22	18	11	3	10	10
57822	38	16	18	35	30	40
