GeneID	GSM6290462	GSM6290463	GSM6290464	GSM6290465	GSM6290466	GSM6290467	GSM6290468	GSM6290469	GSM6290470	GSM6290471	GSM6290472	GSM6290473	GSM6290474	GSM6290475	GSM6290476	GSM6290477
100287102	19	14	11	14	8	12	9	9	13	14	14	8	8	9	5	6
653635	2274	1775	1622	1524	1764	2018	2031	2144	1896	2320	1307	1400	1231	1654	1464	1302
102466751	77	69	59	53	27	39	47	33	40	48	37	51	41	39	34	21
107985730	3	2	3	5	1	1	0	1	2	1	1	0	1	1	0	0
100302278	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
645520	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	119	100	86	143	119	179	178	141	150	157	70	69	83	121	97	88
729737	1184	849	595	692	815	972	1185	1096	829	914	523	430	457	682	607	464
102725121	10	7	5	8	2	1	1	2	1	2	7	2	1	1	1	0
102723897	2269	1774	1594	1518	1784	2033	2011	2065	1921	2323	1308	1396	1228	1600	1439	1327
102465909	52	51	34	27	17	24	23	21	18	28	25	21	23	30	17	15
107985721	8	7	6	15	1	5	1	0	2	2	3	0	3	2	0	0
112268260	16	15	15	17	9	19	25	11	20	16	17	9	14	10	17	13
729759	1	0	0	3	1	1	1	1	0	2	1	0	1	2	0	0
100132287	1430	1005	772	835	1115	1379	1560	1367	1126	1302	745	606	648	966	898	740
105378947	2	1	3	7	1	1	6	2	0	4	1	1	5	1	1	4
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
113219467	2568	1535	2355	1745	1105	799	1080	1805	1633	1187	1545	1401	1944	1713	916	899
81399	8	6	3	15	2	9	7	7	6	5	5	4	6	4	6	6
100133331	1461	1056	837	894	1193	1494	1596	1403	1216	1357	807	717	727	1006	939	793
107984841	340	245	204	272	274	361	445	290	330	312	197	151	214	264	240	226
107984847	247	177	147	167	211	281	321	225	239	236	153	97	126	187	187	190
107984849	84	56	58	64	63	90	101	71	73	83	40	34	40	73	54	54
100288069	201	193	164	263	214	305	371	240	300	289	134	139	145	243	211	193
105378580	64	31	29	47	15	11	24	24	18	22	20	13	22	30	8	10
400728	19	12	16	19	5	10	21	8	15	12	7	8	5	17	6	12
79854	50	31	46	41	22	30	32	26	16	27	23	21	24	38	18	8
643837	244	266	210	176	157	177	249	105	151	230	177	260	249	103	164	167
107984850	0	1	1	2	1	1	1	0	1	1	2	0	1	1	0	2
284593	8	4	3	9	2	4	7	4	3	5	4	2	6	6	6	2
284600	107	70	19	96	13	19	19	38	22	8	11	18	1	31	9	4
100130417	49	43	11	28	1	3	8	8	6	2	8	1	3	8	0	0
107985728	19	44	22	7	2	1	1	1	8	4	21	7	12	10	1	2
148398	389	577	360	211	144	187	184	175	203	207	240	257	230	114	164	96
26155	5852	7284	5781	3904	2158	2724	2953	2476	2895	3662	3770	4627	3684	2355	2785	2322
339451	1452	1624	1013	866	203	199	285	199	235	332	397	450	444	179	278	178
84069	38	29	14	36	25	26	35	38	24	35	41	32	32	30	24	18
84808	5	3	3	2	1	3	6	6	2	7	3	5	6	3	3	4
57801	44	21	20	27	94	50	146	334	82	143	166	78	142	166	89	37
9636	991	570	474	381	3784	1807	3600	14788	2491	3818	8822	4578	4226	9523	3062	2536
375790	4573	3468	3796	2678	7947	5928	12935	21526	9999	14308	17998	16739	13688	14861	10931	6922
100288175	27	20	15	23	744	643	1001	1241	856	1104	631	732	589	763	617	700
112267874	8	14	7	15	213	216	252	462	186	233	116	145	96	155	127	131
105378948	77	70	44	49	592	495	737	999	600	792	406	525	405	583	428	524
401934	0	0	1	1	549	392	334	933	303	203	11	15	9	167	158	89
54991	626	716	541	397	1735	2085	2198	1982	1410	1434	948	923	715	926	890	635
254099	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
554210	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0
100506376	0	0	0	0	8	7	13	20	8	7	14	5	2	8	3	1
254173	2	1	0	9	574	389	697	985	678	644	185	176	190	944	616	466
8784	9	6	1	8	2605	1640	3672	5975	3269	4412	4921	5013	3729	4950	3719	2305
7293	5	3	1	2	1021	580	1118	2133	1039	1354	1064	961	827	1686	1204	701
51150	6396	6027	6000	3998	11394	10396	12281	14453	10564	14015	12838	14153	11343	12841	10215	9017
126792	1858	1792	1288	1421	540	564	958	1113	784	1109	1804	2201	1906	1202	818	864
388581	30	14	8	20	11	15	30	30	13	20	10	11	18	28	8	13
